time_s,power_W
482.051084751873,-177949.317684411
482.057468503376,-177811.561611651
482.06385225488,-177673.803676654
482.080864770643,-177306.673624385
482.097877286405,-176939.530384447
482.114889802168,-176572.373984354
482.131902317931,-176205.20445155
482.231902317931,-174046.708592547
482.331902317931,-171887.765510081
482.431902317931,-169728.380781851
482.531902317931,-167568.559985521
482.631902317931,-165408.308698777
482.731902317931,-163247.632499286
482.831902317931,-161086.536964722
482.931902317931,-158925.027672771
483,-157452.855984828
483.000147149951,-112195.78510729
483.000294299902,-112194.087975848
483.000441449853,-112192.390843914
483.001912949362,-112175.419497814
483.003384448871,-112158.448102145
483.00485594838,-112141.476657043
483.007961857711,-112105.654690214
483.011067767043,-112069.832503849
483.014173676374,-112034.0100984
483.017279585705,-111998.187473846
483.023935637458,-111921.417836271
483.03059168921,-111844.647193421
483.037247740963,-111767.875545979
483.043903792716,-111691.102894771
483.050559844468,-111614.329240359
483.061428351787,-111488.965226244
483.072296859105,-111363.598542325
483.083165366423,-111238.229191563
483.094033873742,-111112.85717703
483.185444406426,-110058.299865419
483.27685493911,-109003.556133249
483.368265471794,-107948.627777837
483.468265471794,-106794.362857691
483.568265471794,-105639.88149165
483.668265471794,-104485.186032794
483.768265471794,-103330.278834202
483.868265471794,-102175.16224896
483.968265471794,-101019.838630149
484,-100653.159234862
484.000696538661,-141211.863449546
484.001393077321,-141196.784287597
484.002089615982,-141181.705108433
484.002786154642,-141166.6259115
484.004118797313,-141137.775803669
484.005451439983,-141108.925631592
484.006784082653,-141080.075395183
484.009439819438,-141022.581446273
484.012095556223,-140965.087241925
484.014751293008,-140907.592782399
484.017407029794,-140850.098067798
484.0227294095,-140734.871761186
484.028051789207,-140619.644431182
484.033374168914,-140504.416078592
484.038696548621,-140389.186704256
484.044018928328,-140273.956309041
484.053863199646,-140060.823529795
484.063707470964,-139847.687266256
484.073551742282,-139634.54752369
484.0833960136,-139421.404307418
484.093240284918,-139208.257622801
484.117920236408,-138673.875806102
484.142600187898,-138139.47230718
484.167280139389,-137605.047209858
484.191960090879,-137070.600598001
484.291960090879,-134904.872966093
484.391960090879,-132738.799069884
484.491960090879,-130572.384487045
484.591960090879,-128405.634795256
484.691960090879,-126238.555572191
484.791960090879,-124071.152395525
484.891960090879,-121903.430842933
484.991960090879,-119735.396492091
485,-119561.075083253
485.008039909121,-119386.751691432
485.016079818242,-119212.426319516
485.024119727363,-119038.098970445
485.104518818572,-117294.717372316
485.184917909782,-115551.141244596
485.265317000991,-113807.373486003
485.365317000991,-111638.220568705
485.465317000991,-109468.781255464
485.565317000992,-107299.061123961
485.665317000992,-105129.065751867
485.765317000992,-102958.80071686
485.865317000992,-100788.271596613
485.965317000992,-98617.4839688033
486,-97864.5303593084
486.000848921347,-69765.1397537378
486.001697842694,-69755.2914633166
486.002546764041,-69745.4431627235
486.003395685387,-69735.59485196
486.005187911327,-69714.8032598595
486.006980137266,-69694.0116225131
486.008772363205,-69673.2199397698
486.012320494156,-69632.0578013457
486.015868625106,-69590.8954855496
486.019416756057,-69549.7329924321
486.022964887007,-69508.570322174
486.030438225827,-69421.8698478852
486.037911564646,-69335.1685890687
486.045384903465,-69248.4665467176
486.052858242284,-69161.7637217783
486.060331581103,-69075.0601152689
486.076764468522,-68884.40756418
486.093197355941,-68693.7512493119
486.10963024336,-68503.0911811096
486.126063130779,-68312.4273700151
486.226063130779,-67152.0897713982
486.326063130779,-65991.6163073294
486.426063130779,-64831.0093308876
486.526063130779,-63670.2711951571
486.626063130779,-62509.4042532195
486.726063130779,-61348.4108581541
486.826063130779,-60187.2933630452
486.926063130779,-59026.0541209743
487,-58167.3932774346
487.000924513408,-81555.2580444974
487.001849026817,-81535.170856045
487.002773540225,-81515.0836495618
487.003698053633,-81494.9964253759
487.00547074554,-81456.4804819676
487.007243437446,-81417.9644729888
487.009016129352,-81379.4483984509
487.010788821259,-81340.9322582588
487.015394227206,-81240.8680547102
487.019999633154,-81140.8034093304
487.024605039102,-81040.738322671
487.02921044505,-80940.6727953253
487.036468325816,-80782.9738240536
487.043726206583,-80625.2737616987
487.05098408735,-80467.5726103876
487.058241968117,-80309.8703722529
487.07666941287,-79909.4663553124
487.095096857624,-79509.0553810279
487.113524302377,-79108.6374843013
487.213524302377,-76935.5751382422
487.313524302377,-74762.3155390557
487.413524302377,-72588.8642644168
487.513524302377,-70415.2268920008
487.613524302377,-68241.4089994831
487.713524302377,-66067.4161645378
487.813524302377,-63893.2539648414
487.913524302377,-61718.9279780684
488,-59838.5366484782
488.00395109808,-42626.7639046091
488.007051885967,-42590.7094542128
